index,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,split5_train_score,split6_train_score,split7_train_score,split8_train_score,split9_train_score,mean_train_score,std_train_score
14,0.009125471115112305,0.00120800123813376,0.004343414306640625,0.0006471219704445568,0.015,{'C': 0.015},0.6918766728719217,0.7465813464235623,0.7103786816269285,0.7351766513056835,0.7112932604735883,0.8281230143601475,0.7526174715299065,0.7539230297185939,0.7394007914075749,0.7539230297185939,0.7423293949436501,0.035132034992816336,986,0.7681050440511832,0.7499410312127531,0.7561317122440877,0.7598551621699283,0.7610406558077184,0.7501302548405419,0.7555646568132135,0.7501302548405419,0.7610406558077184,0.7561373161279972,0.7568076743915684,0.005581505677831726
15,0.008430290222167968,0.000493576199333144,0.004378795623779297,0.0005004099849699252,0.016,{'C': 0.016},0.6918766728719217,0.7680491551459292,0.6966796644215999,0.7351766513056835,0.7329995478825834,0.8281230143601475,0.7526174715299065,0.7539230297185939,0.7394007914075749,0.7394007914075749,0.7438246790051515,0.03608972932372652,985,0.7681050440511832,0.7505545696539486,0.7583143003964704,0.7642720695726902,0.7637211660333805,0.758322214184637,0.758322214184637,0.7501302548405419,0.7561602433464487,0.758322214184637,0.7586224290448574,0.005398801818573018
16,0.009935593605041504,0.0015570126220356658,0.004296731948852539,0.000450213496563608,0.017,{'C': 0.017},0.6918766728719217,0.7680491551459292,0.6966796644215999,0.7351766513056835,0.7329995478825834,0.8281230143601475,0.7526174715299065,0.7539230297185939,0.7593722201042064,0.7394007914075749,0.7458218218748146,0.03634137460654289,982,0.764834974678773,0.7549840352019824,0.7648190703802434,0.764834974678773,0.7658652281958958,0.7588730224257909,0.758322214184637,0.7485166072569971,0.7561602433464487,0.758322214184637,0.7595532584534177,0.005301457093618023
17,0.009359788894653321,0.0010707099926219252,0.005294942855834961,0.0008956115029362122,0.018000000000000002,{'C': 0.018000000000000002},0.6918766728719217,0.7680491551459292,0.6966796644215999,0.7351766513056835,0.7329995478825834,0.8281230143601475,0.7526174715299065,0.7539230297185939,0.7593722201042064,0.7394007914075749,0.7458218218748146,0.03634137460654289,982,0.7670217597753829,0.7549840352019824,0.7631842380322758,0.76375259623646,0.76423022761664,0.757785674005159,0.7604998448376987,0.7507103154187987,0.7561602433464487,0.7604998448376987,0.7598828779308545,0.004721111241727655
18,0.008599972724914551,0.0005798254107520598,0.004737401008605957,0.0009484636798275727,0.019000000000000003,{'C': 0.019000000000000003},0.6918766728719217,0.7680491551459292,0.7183217372970694,0.7351766513056835,0.7329995478825834,0.8281230143601475,0.7526174715299065,0.7539230297185939,0.7593722201042064,0.7394007914075749,0.7479860291623616,0.03391374376815789,979,0.7670217597753829,0.755563813534828,0.7653357290391574,0.7642914147653355,0.7647285852467124,0.757785674005159,0.76267029766318,0.7528966653087367,0.7625965806345554,0.7604998448376987,0.7613390364810745,0.004356416027359955
19,0.009108614921569825,0.0010026666007153765,0.004796767234802246,0.0008379600117162066,0.02,{'C': 0.02},0.6918766728719217,0.7680491551459292,0.7183217372970694,0.7351766513056835,0.7329995478825834,0.8281230143601475,0.7526174715299065,0.7539230297185939,0.7593722201042064,0.7394007914075749,0.7479860291623616,0.03391374376815789,979,0.7670217597753829,0.7583143003964704,0.763699581835261,0.7642914147653355,0.7647285852467124,0.7561602433464487,0.76267029766318,0.7528966653087367,0.76423022761664,0.76267029766318,0.7616683373617348,0.0041968173971883935
20,0.008574604988098145,0.0006188610740184737,0.004616951942443848,0.00044753666303951815,0.021,{'C': 0.021},0.6918766728719217,0.7680491551459292,0.7183217372970694,0.7351766513056835,0.7329995478825834,0.8281230143601475,0.7526174715299065,0.7539230297185939,0.7593722201042064,0.7593722201042064,0.7499831720320247,0.03393740326566272,975,0.767563038232646,0.7566879120158301,0.7620648031999243,0.7664553643366571,0.7647285852467124,0.7545361263344069,0.7615702728488284,0.7534546448809791,0.7663648888784513,0.76267029766318,0.7616095933637616,0.004830733603687574
21,0.008870983123779297,0.0009012793921451512,0.004696488380432129,0.0006580361702297911,0.022000000000000002,{'C': 0.022000000000000002},0.6918766728719217,0.7680491551459292,0.7183217372970694,0.7351766513056835,0.7329995478825834,0.8281230143601475,0.737704918032787,0.7539230297185939,0.7593722201042064,0.7593722201042064,0.7484919166823127,0.03411605335675122,978,0.767563038232646,0.7588604168354102,0.7620648031999243,0.7664553643366571,0.7647285852467124,0.7566855949003725,0.7599407046899146,0.755623682994988,0.7663648888784513,0.7610406558077184,0.7619327735122795,0.004014628807005471
22,0.008631753921508788,0.000715417683069696,0.004766249656677246,0.0004899177917625359,0.023,{'C': 0.023},0.6918766728719217,0.7680491551459292,0.7183217372970694,0.7351766513056835,0.7329995478825834,0.8281230143601475,0.737704918032787,0.7539230297185939,0.744715786181553,0.744715786181553,0.7455606298977822,0.03368216569980013,984,0.767563038232646,0.757232588779606,0.7642040827692824,0.7664553643366571,0.7647285852467124,0.7545361263344069,0.7599407046899146,0.757785674005159,0.7663648888784513,0.7610406558077184,0.7619851709080555,0.004283807673538583
23,0.008713412284851074,0.00068788702678116,0.004821467399597168,0.0010056294893785653,0.024,{'C': 0.024},0.6918766728719217,0.7680491551459292,0.7323644097837646,0.7351766513056835,0.7329995478825834,0.8281230143601475,0.737704918032787,0.7539230297185939,0.744715786181553,0.744715786181553,0.7469648971464516,0.03279839348568082,981,0.767563038232646,0.757232588779606,0.7642040827692824,0.7664553643366571,0.7652163921223886,0.7545361263344069,0.7615702728488284,0.7599407046899146,0.7663648888784513,0.7610406558077184,0.76241241147999,0.00408822175572867
24,0.009310245513916016,0.0012132314054338466,0.004635477066040039,0.00041256769897896376,0.025,{'C': 0.025},0.6918766728719217,0.7680491551459292,0.7323644097837646,0.7351766513056835,0.7329995478825834,0.8281230143601475,0.737704918032787,0.7741473525532315,0.744715786181553,0.744715786181553,0.7489873294299154,0.03377412338174538,976,0.767563038232646,0.7593951858407922,0.7663366977225672,0.7642914147653355,0.7652163921223886,0.7545361263344069,0.7615702728488284,0.7599407046899146,0.7663648888784513,0.7610406558077184,0.762625537724305,0.0038513575876605566
25,0.00932173728942871,0.0014245786336989797,0.004781103134155274,0.00038737961659087756,0.026000000000000002,{'C': 0.026000000000000002},0.6918766728719217,0.7680491551459292,0.7323644097837646,0.7351766513056835,0.7329995478825834,0.8281230143601475,0.737704918032787,0.7741473525532315,0.744715786181553,0.744715786181553,0.7489873294299154,0.03377412338174538,976,0.767563038232646,0.7593951858407922,0.7663366977225672,0.7669732902237593,0.7652163921223886,0.7545361263344069,0.759412463103593,0.7599407046899146,0.7663648888784513,0.7610406558077184,0.7626779442956237,0.004167015217570711
26,0.008613228797912598,0.0007446175932666077,0.004484438896179199,0.0007053321784309702,0.027000000000000003,{'C': 0.027000000000000003},0.6918766728719217,0.7680491551459292,0.7323644097837646,0.7351766513056835,0.7329995478825834,0.8468294717089316,0.737704918032787,0.7741473525532315,0.744715786181553,0.744715786181553,0.7508579751647939,0.03831781455637796,959,0.767563038232646,0.7593951858407922,0.7663366977225672,0.7669732902237593,0.76358003689958,0.7545361263344069,0.759412463103593,0.7620888609087327,0.7647285852467124,0.759412463103593,0.7624026747616383,0.003983732409714862
